IlmnID,CHR,Relation_to_UCSC_CpG_Island,MAPINFO,Probe_SNPs_10,Probe_SNPs
cg03530925,1,"",59165848,"",""
cg03532363,1,"",11969623,rs75455678,rs28563140
cg03532510,1,Island,224544720,"",""
cg03532930,1,Island,2246464,"",""
cg03533141,1,S_Shore,45243518,"",rs76870991
cg03533858,1,S_Shore,2324396,"",""
cg03534196,1,Island,101491602,"",""
cg03534305,1,Island,26147165,"",""
cg03534635,1,"",147851606,"",""
cg03534674,1,"",244199712,"",""
cg03535361,1,Island,224544794,"",""
cg03535461,1,N_Shore,23885568,"",rs2067053
cg03535830,1,"",110934327,"",""
cg03536320,1,S_Shelf,62211713,"",""
cg03536711,1,"",221509067,"",rs73111435
cg03536861,1,Island,25071933,"",""
cg03537032,1,"",75139139,"",""
cg03537215,1,"",205011262,"",rs74680169
cg03537386,1,"",32155667,"",rs77460788
cg03538296,1,"",15392433,"",""
cg03538326,1,S_Shore,1375845,"",""
cg03538430,1,Island,231296659,"",""
cg03538499,1,N_Shore,27941694,"",""
cg03538708,1,"",25844672,"",rs35106581
cg03539016,1,"",149192846,"",""
cg03539970,1,"",184544165,"",rs4421549
cg03541057,1,N_Shore,150206242,"",""
cg03541331,1,"",85786958,rs233114,""
cg03541437,1,"",210485267,rs76306970,""
cg03541746,1,"",9795934,"",""
cg03541846,1,"",15429881,"",""
cg03541864,1,"",224795428,"",""
cg03541887,1,"",248903323,"",rs35436147
cg03542031,1,N_Shore,28906210,"",""
cg03542222,1,"",110260848,"",""
cg03542686,1,"",19794335,"",""
cg03543081,1,"",159684486,"",rs36033188
cg03543533,1,Island,148903479,"",""
cg03543952,1,"",2801150,"",""
cg03543985,1,"",223854639,"",rs6692983
cg03544335,1,S_Shelf,41134801,"",""
cg03544525,1,Island,207226564,"",""
cg03545117,1,"",156134103,"",""
cg03545246,1,Island,227976522,"",""
cg03545620,1,"",26871525,"",""
cg03545719,1,"",17751272,"",""
cg03546360,1,N_Shore,12675968,"",""
cg03547078,1,N_Shelf,1855303,"",""
cg03547181,1,N_Shore,203096683,"",""
cg03547355,1,"",227003060,"",""
cg03547581,1,"",205684841,"",""
cg03547631,1,Island,3447557,"",""
cg03547640,1,"",17662685,"",rs12733102
cg03548008,1,S_Shore,31628890,rs10914301,rs76969345
cg03548170,1,"",72382645,"",""
cg03548242,1,S_Shore,109235690,"",""
cg03548463,1,S_Shore,1603847,rs76801868,""
cg03548730,1,S_Shore,43919949,"",""
cg03548963,1,N_Shelf,6184997,"",""
cg03549293,1,"",101166162,"",""
cg03549532,1,"",6154081,"",""
cg03549695,1,Island,27248049,"",""
cg03549856,1,Island,33593141,"",""
cg03554431,1,Island,149764739,"",rs3106118
cg03557698,1,Island,55271921,"",""
cg03559467,1,Island,200379364,"",""
cg03565782,1,Island,181057814,"",""
cg03568718,1,"",3579873,"",""
cg03569277,1,N_Shore,228657627,"",rs78771405
cg03571764,1,Island,7723630,"",""
cg03574115,1,N_Shore,43636559,"",""
cg03578552,1,"",105207165,"",""
cg03578662,1,Island,40157289,"",""
cg03578951,1,N_Shore,44678791,"",""
cg03579187,1,S_Shelf,94706899,"",""
cg03579872,1,Island,53393473,"",rs11587812
cg03580107,1,S_Shelf,1854473,"",""
cg03580279,1,"",2015974,"",""
cg03580297,1,N_Shore,99729804,"",""
cg03580787,1,"",7271353,"",""
cg03580801,1,N_Shore,1153690,"",""
cg03580831,1,S_Shore,14219825,"",rs2206287
cg03581113,1,"",29475685,"",""
cg03582736,1,S_Shelf,95586852,"",""
cg03582761,1,Island,78225434,"",rs61777139
cg03583311,1,N_Shore,9187976,"",""
cg03583709,1,S_Shore,1190932,"",""
cg03583857,1,S_Shore,208085022,"",""
cg03583979,1,S_Shelf,3032345,"",""
cg03584199,1,"",172689119,"",""
cg03584783,1,N_Shore,173836803,"",""
cg03585070,1,S_Shore,205602206,"",""
cg03585237,1,"",165415805,"",""
cg03585329,1,"",102263519,"",rs58226675
cg03585720,1,"",235048762,"",rs76636170
cg03585734,1,"",15598865,"",""
cg03585778,1,Island,205537837,"",""
cg03586437,1,Island,226070052,"",""
cg03586803,1,Island,54587428,"",""
cg03586820,1,S_Shore,16679780,"",""
cg03586839,1,Island,150601711,"",rs77115129
cg03586847,1,S_Shelf,40726012,"",""
cg03587150,1,Island,154193741,"",""
cg03587511,1,Island,44115742,"",""
cg03593336,1,S_Shore,99471295,"",""
cg03593358,1,N_Shore,12039985,"",""
cg03593823,1,"",240690404,"",rs12034261
cg03593833,1,Island,149224641,"",rs3844557
cg03595243,1,N_Shore,205742922,"",""
cg03596016,1,Island,246952362,"",""
cg03596113,1,"",3129969,"",rs12072073
cg03596450,1,N_Shelf,155827082,"",rs74316198
cg03596681,1,"",244952394,"",""
cg03597143,1,Island,46767790,"",""
cg03597540,1,N_Shore,149857491,"",""
cg03598021,1,"",226086710,"",""
cg03598074,1,"",56124437,"",""
cg03598313,1,"",208955564,"",""
cg03598412,1,"",248569430,"",""
cg03598444,1,N_Shore,23893158,"",""
cg03598513,1,S_Shore,47780452,"",""
cg03599257,1,N_Shore,28283712,"",rs61789698
cg03599618,1,N_Shelf,49361197,"",""
cg03599978,1,"",219834537,"",""
cg03599988,1,N_Shore,2045413,"",""
cg03601368,1,"",246977054,"",rs12746668
cg03601828,1,"",120174361,"",""
cg03601886,1,"",53649218,"",""
cg03601920,1,N_Shore,17445310,"",""
cg03602124,1,Island,113258101,"",""
cg03602898,1,Island,223255040,"",""
cg03603018,1,"",25298714,"",""
cg03603114,1,Island,144593903,"",""
cg03603203,1,"",31409647,"",""
cg03603214,1,Island,49242757,"",""
cg03603260,1,S_Shore,151021364,rs57275417,""
cg03603977,1,Island,35332137,"",""
cg03604172,1,Island,36349543,"",""
cg03604763,1,"",85527490,"",""
cg03604774,1,"",27849102,"",""
cg03605365,1,N_Shore,62207325,"",""
cg03605773,1,N_Shore,9488706,"",""
cg03605784,1,Island,31769832,"",""
cg03606098,1,N_Shore,1690840,"",""
cg03606328,1,Island,62902271,"",""
cg03606772,1,N_Shore,152487856,"",""
cg03607680,1,Island,48450020,"",""
cg03607708,1,"",215966091,"",""
cg03607855,1,N_Shelf,244078356,"",""
cg03607891,1,"",66099615,"",""
cg03607951,1,"",79085586,"",""
cg03607993,1,N_Shore,5936617,"",""
cg03609269,1,Island,53393023,"",""
cg03609308,1,Island,3664084,"",""
cg03609826,1,Island,185126156,"",rs12749105
cg03610117,1,"",8450231,rs76111304,""
cg03610604,1,"",156851440,"",""
cg03611060,1,Island,59281067,"",""
cg03611100,1,"",36060607,"",""
cg03611151,1,S_Shore,24229581,rs72202825,""
cg03611809,1,"",43709209,"",""
cg03612060,1,S_Shore,110528077,"",""
cg03612201,1,S_Shelf,117288376,"",""
cg03612333,1,"",183746956,"",""
cg03612357,1,N_Shore,227162127,"",""
cg03612577,1,"",249115007,"",""
cg03612692,1,"",17586047,"",""
cg03612765,1,"",89552576,"",""
cg03613077,1,S_Shore,241520904,"",""
cg03614513,1,Island,115632038,"",""
cg03614734,1,Island,246730185,"",""
cg03614954,1,"",24439418,"",""
cg03615839,1,"",86989900,"",""
cg03615849,1,"",233390249,"",""
cg03617456,1,S_Shore,11160205,"",""
cg03618016,1,"",247769804,"",""
cg03618177,1,Island,26437494,rs2802306,""
cg03618741,1,N_Shelf,182581547,"",""
cg03618918,1,"",160865097,"",""
cg03618937,1,Island,155225402,"",""
cg03622431,1,"",84864880,"",""
cg03623288,1,"",248683682,"",""
cg03625911,1,"",203155737,"",""
cg03626238,1,N_Shore,21042397,rs76021685,""
cg03630344,1,N_Shore,7831156,"",""
cg03631837,1,Island,2237200,"",rs11580302
cg03636215,1,Island,38512601,"",""
cg03639170,1,N_Shore,202993923,"",""
cg03640258,1,N_Shore,41267494,"",""
cg03641225,1,N_Shore,68512539,"",""
cg03646354,1,"",55474315,"",""
cg03646474,1,Island,174992368,"",""
cg03646674,1,Island,155145926,"",""
cg03646788,1,N_Shelf,16258484,"",""
cg03646889,1,N_Shore,99729807,"",""
cg03647334,1,N_Shore,38021045,"",""
cg03648020,1,N_Shelf,931327,"",""
cg03648215,1,N_Shelf,10893824,"",""
cg03648483,1,S_Shore,25072800,"",""
cg03648823,1,Island,40915636,rs58070142,""
cg03649030,1,"",145115872,"",rs7534444
cg03649238,1,Island,16940053,"",rs56924609
cg03649284,1,S_Shore,52345292,"",""
cg03649293,1,"",202129894,rs3935295,rs72746636
cg03649574,1,"",158066515,"",""
cg03649796,1,"",10106565,"",""
cg03650068,1,S_Shelf,25596491,"",""
cg03650119,1,Island,228346014,"",""
cg03650713,1,"",16501734,"",rs7542770
cg03651199,1,N_Shelf,2209254,"",""
cg03651478,1,N_Shore,159893671,"",""
cg03651583,1,Island,33815695,"",""
cg03651769,1,"",215219381,"",""
cg03651877,1,N_Shore,228003072,"",""
cg03652564,1,"",164619765,"",rs6426873
cg03653317,1,"",118165598,"",""
cg03653801,1,N_Shore,9747772,"",""
cg03653817,1,"",181065498,"",rs73054329
cg03654273,1,"",19803932,"",""
cg03654329,1,"",2899954,"",""
cg03654504,1,N_Shelf,37495105,"",""
cg03654735,1,Island,38100826,"",""
cg03654783,1,"",156634034,"",""
cg03655142,1,S_Shore,153950843,"",""
cg03655395,1,N_Shore,56943111,"",rs79002696
cg03655662,1,S_Shore,202977077,"",""
cg03655701,1,"",24885664,"",""
cg03655847,1,N_Shelf,35321316,"",""
cg03660500,1,Island,197887649,"",""
cg03660578,1,Island,3791610,"",""
cg03662422,1,N_Shore,76081272,"",""
cg03664527,1,N_Shore,3648749,"",""
cg03664992,1,Island,39957393,"",""
cg03665132,1,Island,2137325,"",rs2503712
cg03665853,1,N_Shore,85219864,rs12065881,rs72716942
cg03667871,1,N_Shore,198125222,"",""
cg03669282,1,Island,228566718,"",""
cg03673470,1,"",238055429,"",""
cg03674744,1,N_Shore,228656799,"",""
cg03675886,1,S_Shore,101362002,"",rs75924603
cg03677161,1,N_Shore,59278958,"",""
cg03678139,1,Island,41832388,"",""
cg03678274,1,"",236017128,"",""
cg03679305,1,N_Shelf,9129487,"",""
cg03681926,1,N_Shore,84326185,"",""
cg03684513,1,"",24882451,"",""
cg03685774,1,S_Shore,159870326,"",""
cg03687587,1,Island,159141293,"",""
cg03688085,1,Island,1910585,"",""
cg03691429,1,N_Shore,236765935,"",""
cg03693486,1,"",20914322,"",""
cg03696327,1,Island,101005121,"",""
cg03699079,1,Island,47082129,"",""
cg03699618,1,Island,6639892,"",""
cg03700143,1,Island,1961762,"",""
cg03700669,1,N_Shore,28284100,"",""
cg03701795,1,"",158323482,"",""
cg03702975,1,Island,223316252,"",""
cg03704061,1,"",230883300,"",""
cg03705284,1,Island,1051907,"",""
cg03705947,1,Island,68152081,"",""
cg03709938,1,Island,2560950,"",""
cg03712798,1,"",156548584,"",""
cg03714163,1,Island,38157357,"",""
cg03714573,1,Island,91172770,"",""
cg03716942,1,Island,1821981,"",""
cg03716999,1,N_Shore,6265802,"",""
cg03717803,1,Island,212781767,"",""
cg03718183,1,N_Shore,26231082,rs77318619,""
cg03718677,1,"",151148266,"",rs41269648
cg03719984,1,Island,1859247,"",""
cg03722487,1,Island,2415199,rs35755073,""
cg03722802,1,N_Shore,26495178,"",""
cg03724010,1,N_Shore,1473443,"",""
cg03724279,1,"",56636154,"",""
cg03724759,1,S_Shore,26633534,"",""
cg03724763,1,S_Shore,152009253,"",""
cg03724799,1,"",213013952,"",""
cg03725309,1,S_Shore,109757585,"",""
cg03725447,1,Island,860008,"",rs28546461
cg03726147,1,"",44686022,"",""
cg03726819,1,Island,78277606,"",""
cg03726881,1,Island,71513726,"",""
cg03727673,1,"",21966420,"",rs1772709
cg03727756,1,Island,51425478,"",""
cg03727968,1,"",167451830,"",rs2949655
cg03728499,1,"",16135109,"",rs7548561
cg03728780,1,N_Shore,43389725,"",rs12064303
cg03728813,1,Island,35658789,"",""
cg03729042,1,"",183560923,"",""
cg03729521,1,"",150770803,"",""
cg03730249,1,"",42692013,"",""
cg03730703,1,N_Shore,160173841,"",""
cg03731202,1,"",36574795,"",""
cg03731251,1,S_Shore,235292703,"",""
cg03731268,1,Island,62660861,"",""
cg03731661,1,N_Shore,39337506,"",""
cg03731740,1,N_Shore,29062689,"",""
cg03732007,1,"",2071316,"",""
cg03732087,1,Island,50489654,"",""
cg03732263,1,N_Shore,26797145,"",""
cg03732293,1,Island,179335087,"",""
cg03732545,1,"",205012130,"",""
cg03732936,1,Island,224371029,"",""
cg03733578,1,Island,18809059,"",""
cg03734229,1,"",41236997,"",""
cg03734302,1,S_Shore,247465254,"",""
cg03734402,1,N_Shore,6265417,"",""
cg03734660,1,Island,156675322,"",""
cg03734700,1,"",1999046,"",""
cg03735492,1,Island,16543759,"",""
cg03735847,1,Island,860925,"",""
cg03735869,1,N_Shore,43918114,"",""
cg03736085,1,Island,31191003,"",""
cg03737080,1,"",154956500,"",""
cg03737629,1,"",78343253,"",""
cg03737787,1,"",2899656,"",""
cg03738168,1,"",44612502,"",""
cg03738329,1,"",15759438,rs75722030,""
cg03739172,1,S_Shelf,19046707,"",""
cg03739354,1,"",212839040,rs74482669,""
cg03740640,1,Island,165600573,"",rs4147594
cg03741348,1,N_Shore,32712237,"",""
cg03741406,1,Island,40255103,"",""
cg03741850,1,"",9664395,"",""
cg03742273,1,Island,2772664,"",""
cg03742620,1,Island,78445162,rs1325513,""
cg03742629,1,"",160738013,"",rs74124278
cg03742705,1,N_Shore,1406266,"",""
cg03743008,1,Island,218338449,"",""
cg03743605,1,N_Shore,179050691,"",""
cg03743675,1,S_Shore,39045497,"",""
cg03744522,1,Island,3816447,"",""
cg03745013,1,"",206516628,"",""
cg03745244,1,Island,16399725,"",""
cg03745431,1,Island,226736713,"",""
cg03747016,1,Island,169764319,"",""
cg03747028,1,S_Shore,28970259,"",""
cg03747657,1,"",2751217,"",""
cg03748243,1,S_Shore,172413542,rs78456439,""
cg03748376,1,Island,248100585,"",""
cg03748986,1,N_Shore,3340187,"",""
cg03749081,1,S_Shelf,156546256,"",""
cg03749154,1,N_Shelf,31155158,"",""
cg03749697,1,"",85177860,"",""
cg03749917,1,"",151826937,"",""
cg03750111,1,N_Shore,205473547,"",""
cg03750567,1,Island,27676637,"",""
cg03750587,1,"",24239979,"",""
cg03750606,1,N_Shore,217262978,"",""
cg03750742,1,"",197116190,"",""
cg03750903,1,S_Shelf,193077840,"",""
cg03752218,1,Island,47696788,"",""
cg03752628,1,S_Shore,117453510,"",""
cg03752689,1,S_Shore,209958185,"",""
cg03752759,1,Island,54355655,"",""
cg03753284,1,Island,43855912,rs839754,""
cg03753481,1,Island,38512595,"",""
cg03753670,1,S_Shore,6762231,"",""
cg03753785,1,N_Shore,210000559,"",""
cg03753813,1,"",116088501,"",""
cg03754076,1,Island,232766254,"",""
cg03754143,1,Island,1981548,"",""
cg03754153,1,N_Shore,19202030,"",""
cg03754311,1,Island,20879029,"",rs55937839
cg03754582,1,Island,35442255,"",""
cg03755098,1,N_Shore,70876598,"",""
cg03756088,1,Island,230203084,"",""
cg03756514,1,Island,150552138,rs28365857,""
cg03756929,1,S_Shelf,232944625,"",""
cg03757398,1,S_Shore,28920491,"",""
cg03757594,1,Island,84971513,"",""
cg03758693,1,Island,166944830,"",""
cg03759239,1,"",192626671,"",""
cg03760138,1,"",1079260,"",""
cg03760226,1,S_Shore,1390794,"",""
cg03760490,1,N_Shore,35245996,"",""
cg03760518,1,Island,3634903,"",""
cg03760589,1,N_Shore,170630397,"",""
cg03760644,1,N_Shore,153755905,"",""
cg03760759,1,"",156549533,"",""
cg03760839,1,N_Shore,119531718,"",rs12035818
cg03761113,1,"",157811724,"",""
cg03761216,1,S_Shore,51986130,"",""
cg03761258,1,N_Shore,3731301,"",""
cg03761543,1,"",77400245,"",""
cg03762404,1,S_Shore,155179254,"",""
cg03762505,1,Island,171750926,"",""
cg03762535,1,"",119911480,"",""
cg03762549,1,S_Shore,55446960,"",rs72907616
cg03762572,1,"",7692325,"",""
cg03762702,1,Island,32757792,"",""
cg03763387,1,N_Shore,182808220,"",""
cg03763457,1,"",158070317,"",""
cg03763518,1,S_Shelf,150245044,"",""
cg03763585,1,Island,193074699,"",rs1075661
cg03763769,1,S_Shore,197744884,"",""
cg03763950,1,N_Shore,211750839,"",""
cg03764585,1,"",203320223,"",""
cg03764767,1,N_Shore,2338210,"",rs61736380
cg03765258,1,"",7210948,"",""
cg03765260,1,"",28423399,"",""
cg03766306,1,Island,90461091,"",""
cg03766823,1,N_Shore,28099550,"",rs77887944
cg03767258,1,S_Shore,15127907,"",""
cg03767970,1,N_Shore,33721234,"",""
cg03768057,1,"",170905998,"",""
cg03768622,1,N_Shore,64239401,"",""
cg03768777,1,Island,213123965,"",""
cg03768831,1,S_Shelf,177154353,"",""
cg03768925,1,"",59165685,"",rs12402204
cg03769734,1,"",235021334,"",""
cg03769927,1,N_Shore,27480849,"",""
cg03769939,1,N_Shore,25254129,"",""
cg03770108,1,S_Shelf,6192111,"",""
cg03770187,1,"",247979766,"",""
cg03770523,1,"",15364622,"",""
cg03770703,1,S_Shore,183388108,"",""
cg03771099,1,"",1917911,rs4648750,""
cg03772253,1,"",18884374,"",""
cg03772567,1,N_Shelf,55676815,"",""
cg03773163,1,S_Shore,148248171,"",rs80113168
cg03773196,1,Island,219786527,"",""
cg03773198,1,"",15653410,"",""
cg03773352,1,Island,38478605,"",""
cg03773413,1,S_Shore,247335974,"",""
cg03773882,1,"",247921487,"",""
cg03774520,1,Island,32238105,"",""
cg03777518,1,N_Shore,2045682,"",""
cg03778981,1,Island,6557871,"",""
cg03784956,1,N_Shore,228785238,rs34194666,""
cg03789420,1,Island,159141717,"",""
cg03790440,1,Island,977896,"",""
cg03793131,1,N_Shore,43833547,"",""
cg03794445,1,"",209605401,"",""
cg03801816,1,"",155214815,"",""
cg03802191,1,S_Shore,234615169,"",""
cg03806868,1,"",154954885,"",""
cg03808734,1,N_Shore,3772978,"",""
cg03810376,1,N_Shore,48460892,"",""
cg03811829,1,Island,949449,"",""
cg03812309,1,N_Shore,46938281,rs74623391,""
cg03812320,1,Island,206808936,"",""
cg03813443,1,Island,232765924,"",""
cg03814022,1,Island,227975439,"",""
cg03814321,1,Island,51810337,"",""
cg03818307,1,"",150480534,"",rs12724450
cg03819515,1,N_Shore,25234040,"",""
cg03825921,1,S_Shore,229407517,"",""
cg03828076,1,N_Shore,40626137,"",""
cg03830929,1,"",154165776,"",""
cg03837750,1,S_Shore,74664160,"",rs4422957
cg03844060,1,Island,26490628,"",""
cg03845435,1,"",112015443,"",""
cg03846767,1,Island,3607292,"",""
cg03846892,1,"",178675021,"",""
cg03847230,1,N_Shelf,100675407,"",""
cg03847293,1,Island,17734508,"",rs11540750
cg03847348,1,N_Shore,2413705,"",""
cg03847541,1,"",55752514,"",rs35099528
cg03847642,1,"",53861919,"",""
cg03847796,1,"",116653399,"",""
cg03847896,1,"",112154295,"",rs10562732
cg03848004,1,"",26107517,"",""
cg03848065,1,"",168212210,"",""
cg03848145,1,Island,85724702,"",""
cg03849754,1,S_Shore,220220103,"",""
cg03849780,1,"",7816037,"",""
cg03850057,1,Island,118727977,"",""
cg03850198,1,"",9090070,"",""
cg03850234,1,"",246862759,"",""
cg03850460,1,S_Shelf,117667237,rs75082587,""
cg03850711,1,"",34330389,"",rs61769900
cg03850797,1,N_Shelf,235486742,"",""
cg03851496,1,S_Shore,150488805,"",""
cg03852045,1,S_Shore,120439870,"",rs78856026
cg03852219,1,Island,145470389,"",""
cg03853328,1,"",3550260,"",""
cg03853586,1,"",56655932,"",""
cg03853587,1,N_Shore,65885364,"",""
cg03853809,1,N_Shore,220863382,"",rs3806329
cg03854265,1,"",204966512,"",""
cg03854346,1,"",84842888,"",""
cg03854931,1,"",119981031,"",rs1341015
cg03855857,1,"",119029635,"",""
cg03856044,1,"",159557632,"",""
cg03856286,1,Island,31769900,"",""
cg03861428,1,Island,17380702,"",""
cg03863149,1,Island,91487516,"",""
cg03864005,1,Island,247464039,"",""
cg03866074,1,Island,144931476,"",""
cg03870738,1,"",171216346,"",""
cg03872376,1,"",238053828,"",""
cg03874509,1,Island,107600012,"",""
cg03880814,1,N_Shore,236511046,"",""
cg03881934,1,"",152784305,rs16834572,rs79081053
cg03882929,1,Island,42800280,"",""
cg03883331,1,N_Shore,244217328,"",""
cg03883491,1,"",46639752,"",""
cg03884082,1,Island,19971709,"",""
cg03884414,1,Island,38061497,"",""
cg03884543,1,"",109373104,"",""
cg03884587,1,Island,177150934,"",""
cg03884592,1,S_Shore,42384474,"",""
cg03885055,1,"",16723232,rs11550045,""
cg03885098,1,"",207991780,"",""
cg03885399,1,Island,47691550,"",rs35489780
cg03885431,1,N_Shelf,3153144,"",rs78983274
cg03886254,1,"",9086648,rs12073885,""
cg03886315,1,"",32280923,"",""
cg03886520,1,Island,8395396,"",""
cg03886699,1,"",212698918,"",""
cg03886898,1,S_Shelf,54359132,"",""
cg03887163,1,N_Shore,165324100,"",""
cg03887218,1,Island,16534349,"",""
cg03887502,1,N_Shore,76261602,"",""
cg03887614,1,"",167132039,"",""
cg03887676,1,N_Shelf,142616241,"",rs75803433
cg03887906,1,N_Shore,208135621,"",""
cg03888033,1,Island,156818905,"",""
cg03888064,1,N_Shelf,156305656,"",""
cg03888412,1,"",207990895,"",""
cg03888578,1,Island,93646377,"",""
cg03888579,1,Island,35331832,"",""
cg03888765,1,Island,21031088,"",""
cg03888918,1,"",33954407,"",rs3924407
cg03889479,1,N_Shore,149224237,rs61789089,rs828492
cg03889876,1,Island,245134592,"",""
cg03890167,1,Island,203242638,"",""
cg03890628,1,N_Shelf,9666902,"",""
cg03890680,1,N_Shore,227504721,"",""
cg03890814,1,"",243219082,"",""
cg03890988,1,Island,854951,"",""
cg03891644,1,"",81510925,"",""
cg03892457,1,N_Shore,159157066,"",""
cg03892551,1,Island,22110152,"",""
cg03892566,1,N_Shore,145073743,"",""
cg03892631,1,"",163039184,"",""
cg03892937,1,Island,67395684,"",""
cg03893150,1,S_Shore,6526325,"",""
cg03893446,1,Island,41848436,"",""
cg03893642,1,"",203869685,"",""
cg03893872,1,N_Shore,210501634,"",""
cg03894975,1,Island,29586570,"",""
cg03895221,1,"",31717101,"",""
cg03895593,1,"",6064094,"",""
cg03896269,1,"",180447588,"",""
cg03896752,1,"",245727658,"",""
cg03897136,1,N_Shore,60280322,"",""
cg03897866,1,S_Shore,181059633,"",""
cg03898845,1,S_Shore,117114009,"",""
cg03899315,1,"",117149598,"",""
cg03899372,1,Island,207224102,"",rs35127634
cg03899643,1,"",90205170,"",rs11802767
cg03899737,1,"",3615390,"",""
cg03900353,1,Island,212732456,"",""
cg03900565,1,"",203031815,"",""
cg03900581,1,"",96468567,"",""
cg03901660,1,Island,221050459,"",""
cg03901886,1,Island,9600115,"",""
cg03902160,1,N_Shore,29586660,"",""
cg03902642,1,Island,156023370,"",""
cg03902951,1,"",22263856,"",""
cg03903246,1,Island,240257032,"",""
cg03907454,1,N_Shore,45205136,"",""
cg03909081,1,"",41218805,"",""
cg03909781,1,Island,3664064,"",""
cg03910004,1,N_Shore,32816396,"",""
cg03910767,1,Island,110626977,"",""
cg03912703,1,Island,45279349,"",""
cg03915268,1,Island,28969692,"",""
cg03915298,1,Island,160231971,"",""
cg03915541,1,N_Shore,6340443,rs34915396,""
cg03915752,1,"",66802205,"",""
cg03916104,1,S_Shore,6314748,rs74626631,""
cg03916225,1,"",111768837,rs78840185,""
cg03916277,1,"",3380250,"",""
cg03917423,1,Island,156339011,"",""
cg03917952,1,"",115770664,"",""
cg03918071,1,S_Shore,113265883,rs77724279,""
cg03918255,1,S_Shore,148602155,"",""
cg03919114,1,S_Shore,109656984,"",""
cg03919875,1,"",165610495,rs78801018,""
cg03920003,1,S_Shore,154582007,"",""
cg03920729,1,S_Shore,16768195,"",""
cg03920887,1,"",205616632,"",""
cg03921300,1,Island,174968776,"",rs11548913
cg03921357,1,S_Shore,3809431,"",rs34928003
cg03921839,1,"",3047462,rs2788087,""
cg03922345,1,N_Shelf,90305457,"",""
cg03925208,1,"",12907868,"",rs848418
cg03932161,1,S_Shelf,166848026,"",""
cg03932171,1,"",55219986,"",""
cg03932453,1,Island,35227041,rs75121921,""
cg03933321,1,S_Shore,145076239,"",""
cg03933646,1,"",55317098,"",""
cg03933784,1,Island,155278509,"",""
cg03934069,1,S_Shore,109420722,"",""
cg03934150,1,Island,244212074,"",""
cg03934167,1,"",172467498,"",""
cg03935072,1,"",73364736,"",rs3001406
cg03935117,1,N_Shore,53191150,"",""
cg03935244,1,"",68761419,rs77267724,""
cg03935359,1,"",68363156,"",""
cg03935455,1,"",3021956,"",""
cg03935783,1,N_Shore,1161069,"",rs3834014
cg03936054,1,"",54026637,"",""
cg03936071,1,N_Shore,44443853,"",""
cg03936663,1,"",218098422,"",""
cg03936955,1,"",205030980,"",""
cg03937290,1,N_Shore,27852711,"",""
cg03937361,1,"",64330272,"",""
cg03937605,1,"",110167976,"",""
cg03937609,1,"",17326539,rs56290406,rs17855550
cg03937687,1,N_Shore,3687108,"",""
cg03937764,1,S_Shelf,2225139,"",rs6702400
cg03937966,1,Island,245753411,"",""
cg03938015,1,Island,161953806,"",""
cg03938043,1,N_Shore,212207851,"",""
cg03938477,1,"",85832650,"",""
cg03938516,1,"",53731693,"",""
cg03938558,1,N_Shore,181381335,"",""
cg03938800,1,S_Shelf,168029713,"",""
cg03939105,1,N_Shore,1589891,"",""
cg03939132,1,"",19316305,"",""
cg03939352,1,"",162346594,"",rs75067243
cg03939566,1,N_Shelf,12075586,"",""
cg03939764,1,"",28177053,"",""
cg03939820,1,Island,155057257,"",""
cg03939875,1,Island,46016565,"",rs34922216
cg03939897,1,N_Shelf,202933154,"",""
cg03940137,1,Island,200708937,"",""
cg03940437,1,"",26580624,"",""
cg03940848,1,Island,229543112,"",""
cg03940966,1,Island,151881785,"",""
cg03941108,1,"",22985937,"",""
cg03941625,1,S_Shelf,1480603,"",""
cg03942051,1,S_Shore,119532655,"",""
cg03942086,1,S_Shore,3081481,"",""
cg03942855,1,Island,110210925,"",""
cg03943115,1,"",153014367,"",""
cg03943177,1,S_Shore,184021360,"",""
cg03943293,1,"",143275393,rs77245019,rs61788579
cg03943717,1,Island,1335569,"",rs2291890
cg03944375,1,S_Shelf,22143533,"",""
cg03944444,1,"",16785803,"",""
cg03944843,1,S_Shore,24307429,"",rs75703238
cg03945034,1,"",7565342,"",""
cg03945122,1,N_Shelf,207840521,"",""
cg03945538,1,S_Shore,173447427,"",rs78410482
cg03945577,1,Island,150602196,"",""
cg03945895,1,"",14111352,"",rs76923512
cg03946186,1,N_Shore,198127992,"",""
cg03946269,1,Island,38259490,"",""
cg03946297,1,"",71140689,"",""
cg03946707,1,"",33214603,"",""
cg03946896,1,Island,44871606,"",""
cg03946955,1,"",156096301,"",""
cg03947026,1,N_Shore,52832320,"",""
cg03947513,1,Island,112298101,"",""
cg03948207,1,Island,114302014,"",""
cg03948781,1,N_Shore,205179583,"",""
cg03948902,1,"",170669166,"",rs76987566
cg03949031,1,S_Shelf,97191447,"",""
cg03949391,1,Island,78956845,"",""
cg03950000,1,"",160617327,"",""
cg03950120,1,S_Shelf,1889924,"",""
cg03950354,1,"",149368226,"",""
cg03950476,1,S_Shore,53019814,"",""
cg03950655,1,"",64379958,"",""
cg03950923,1,S_Shelf,15914861,"",""
cg03951219,1,Island,159141440,rs12759769,rs12759895
cg03951424,1,Island,61549111,"",""
cg03951833,1,"",147801103,"",""
cg03952248,1,S_Shore,27227340,"",""
cg03952484,1,Island,149899818,"",""
cg03953671,1,Island,26488355,"",""
cg03953708,1,Island,211848764,"",rs55635245
cg03953832,1,"",101615251,"",""
